Date,Site,Plot,treatment (W/C),microbial biomass C (ug/g),F:B,Fungal%,Bacterial%,Notes
2022-08-08,Salix,1,C,482,0.818181818,45,55,**FLOODED
2022-08-08,Salix,2,W,342,0.408450704,29,71,**FLOODED
2022-08-08,Salix,3,C,132,0.020408163,2,98,**FLOODED
2022-08-08,Salix,4,W,255,0.32,24,75,**FLOODED
2022-08-08,Salix,5,C,214,0.111111111,10,90,**FLOODED
2022-08-08,Salix,6,W,314,0.315789474,24,76,**FLOODED
2022-08-08,Salix,7,C,392,0.5625,36,64,**DID NOT FLOOD
2022-08-08,Salix,8,W,268,0.219512195,18,82,**DID NOT FLOOD
2022-08-07,Cassiope,9,C,658,1.325581395,57,43,
2022-08-07,Cassiope,10,W,424,0.754385965,43,57,
2022-08-07,Cassiope,11,C,539,1.040816327,51,49,
2022-08-07,Cassiope,12,W,990,2.03030303,67,33,
2022-08-07,Cassiope,13,C,633,1.222222222,55,45,
2022-08-07,Cassiope,14,C,488,0.886792453,47,53,
2022-08-07,Cassiope,15,W,1068,2.333333333,70,30,
2022-08-07,Cassiope,16,C,723,1.43902439,59,41,
2022-08-06,Sedge,17,W,331,0.176470588,15,85,
2022-08-06,Sedge,18,C,263,0.219512195,18,82,
2022-08-06,Sedge,19,W,276,0.123595506,11,89,
2022-08-06,Sedge,20,C,261,0.204819277,17,83,
2022-08-06,Sedge,21,W,253,0.333333333,25,75,
2022-08-06,Sedge,22,C,250,0.123595506,11,89,
2022-08-06,Sedge,23,W,301,0.428571429,30,70,
2022-08-06,Sedge,24,C,118,0.030927835,3,97,
2022-09-25,Salix,1,C,473,0.923076923,48,52,**POST FLOOD
2022-09-25,Salix,2,W,215,0.204819277,17,83,**POST FLOOD
2022-09-25,Salix,3,C,240,0.176470588,15,85,**POST FLOOD
2022-09-25,Salix,4,W,376,0.612903226,38,62,**POST FLOOD
2022-09-25,Salix,5,C,397,0.754385965,43,57,**POST FLOOD
2022-09-25,Salix,6,W,248,0.149425287,13,87,**POST FLOOD
2022-09-25,Salix,7,C,693,1.380952381,58,42,**DID NOT FLOOD
2022-09-25,Salix,8,W,960,1.941176471,66,34,**DID NOT FLOOD
2022-09-25,Cassiope,9,C,866,1.702702703,63,37,
2022-09-25,Cassiope,10,W,385,0.639344262,39,61,
2022-09-25,Cassiope,11,C,478,0.851851852,46,54,
2022-09-25,Cassiope,12,W,658,1.272727273,56,44,
2022-09-25,Cassiope,13,C,716,1.43902439,59,41,
2022-09-25,Cassiope,14,C,385,0.612903226,38,62,
2022-09-25,Cassiope,15,W,725,1.325581395,57,43,
2022-09-25,Cassiope,16,C,974,2.03030303,67,33,
2022-09-25,Sedge,17,W,255,0.219512195,18,82,
2022-09-25,Sedge,18,C,288,0.219512195,18,82,
2022-09-25,Sedge,19,W,140,0.052631579,5,95,
2022-09-25,Sedge,20,C,278,0.315789474,24,76,
2022-09-25,Sedge,21,W,286,0.315789474,24,76,
2022-09-25,Sedge,22,C,273,0.282051282,22,78,
2022-09-25,Sedge,23,W,293,0.369863014,27,73,
